Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1uF,C_0402_1005Metric,192.400000,-150.920000,270.000000,bottom
C3,1uF,C_0402_1005Metric,192.400000,-148.900000,90.000000,bottom
C4,10uF,C_0603_1608Metric,193.800000,-151.300000,270.000000,bottom
C6,470nF,C_0402_1005Metric,205.200000,-161.900000,180.000000,bottom
C7,1uF,C_0402_1005Metric,168.500000,-148.700000,0.000000,bottom
C8,10nF,C_0402_1005Metric,161.757142,-129.700000,0.000000,bottom
C9,10nF,C_0402_1005Metric,153.937142,-129.700000,0.000000,bottom
C10,1uF,C_0402_1005Metric,170.950000,-167.800000,180.000000,bottom
C11,1uF,C_0402_1005Metric,141.000000,-131.200000,180.000000,bottom
C12,1uF,C_0402_1005Metric,165.057142,-132.700000,270.000000,bottom
C13,1uF,C_0402_1005Metric,157.257142,-132.700000,270.000000,bottom
C14,1uF,C_0402_1005Metric,107.500000,-141.600000,180.000000,bottom
C15,470uF,CP_Radial_D10.0mm_P5.00mm,129.800000,-107.967677,90.000000,bottom
C16,10uF,C_0603_1608Metric,119.400000,-158.235000,270.000000,bottom
C17,1uF,C_0402_1005Metric,116.000000,-116.000000,0.000000,bottom
C18,1uF,C_0402_1005Metric,102.900000,-141.500000,0.000000,bottom
C19,1uF,C_0402_1005Metric,121.000000,-158.410000,270.000000,bottom
C20,470uF,CP_Radial_D10.0mm_P5.00mm,105.800000,-154.632323,270.000000,bottom
C21,470uF,CP_Radial_D10.0mm_P5.00mm,110.800000,-132.300000,90.000000,bottom
C22,1uF,C_0402_1005Metric,116.800000,-129.700000,90.000000,bottom
C23,1uF,C_0402_1005Metric,141.300000,-114.300000,270.000000,bottom
C24,1uF,C_0402_1005Metric,162.700000,-158.110000,270.000000,bottom
C25,4.7uF,C_0402_1005Metric,158.600000,-147.610000,0.000000,bottom
C26,10nF,C_0402_1005Metric,199.000000,-120.500000,0.000000,bottom
C27,100nF,C_0402_1005Metric,193.320000,-106.800000,180.000000,bottom
C28,10nF,C_0402_1005Metric,189.340000,-120.400000,180.000000,bottom
C29,10uF,C_0603_1608Metric,102.800000,-140.100000,0.000000,bottom
C30,10uF,C_0603_1608Metric,104.500000,-129.600000,90.000000,bottom
C31,100nF,C_0402_1005Metric,199.700000,-123.000000,270.000000,bottom
C32,100nF,C_0402_1005Metric,199.700000,-125.000000,270.000000,bottom
C33,100nF,C_0402_1005Metric,213.700000,-124.180000,270.000000,bottom
C34,100nF,C_0402_1005Metric,172.300000,-123.500000,90.000000,bottom
C35,100nF,C_0402_1005Metric,212.000000,-156.200000,180.000000,bottom
C36,100nF,C_0402_1005Metric,213.700000,-126.100000,270.000000,bottom
C37,100nF,C_0402_1005Metric,213.300000,-159.500000,180.000000,bottom
D1,LED,LED_0805_2012Metric,203.500000,-169.100000,0.000000,bottom
D2,D_TVS_12V,D_SMA_Handsoldering,174.800000,-135.600000,0.000000,bottom
D3,D_TVS_5V,D_SMA_Handsoldering,194.700000,-134.800000,0.000000,bottom
D4,D_TVS_5V,D_SMA_Handsoldering,213.500000,-118.600000,270.000000,bottom
D5,D_TVS_5V,D_SMA_Handsoldering,209.200000,-135.800000,0.000000,bottom
D6,D,D_SMA,176.500000,-124.900000,180.000000,bottom
D7,D,D_SMA,195.600000,-124.200000,180.000000,bottom
D8,D,D_SMA,206.300000,-117.600000,90.000000,bottom
D9,D_TVS_5V,D_SMA_Handsoldering,210.400000,-153.800000,0.000000,bottom
D10,D_TVS_12V,D_SMA_Handsoldering,116.400000,-113.200000,180.000000,bottom
D11,1N5820,D_SMA,124.700000,-120.500000,270.000000,bottom
D12,D,D_SMA,209.600000,-125.300000,180.000000,bottom
D13,D,D_SMA,211.000000,-143.200000,180.000000,bottom
D14,D,D_SMA,109.300000,-115.200000,90.000000,bottom
J2,Conn_01x04 Header,PinHeader_1x04_P2.54mm_Vertical,177.100000,-169.700000,180.000000,bottom
J3,Conn_01x02 MiniPV,MiniPV_76384-X02XX_1x02_P2.54mm_Vertical,160.387142,-126.100000,270.000000,bottom
J4,Conn_01x02 MiniPV,MiniPV_76384-X02XX_1x02_P2.54mm_Vertical,152.587142,-126.100000,270.000000,bottom
J5,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,103.810000,-113.975000,0.000000,bottom
J6,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,167.375000,-152.790000,270.000000,bottom
J7,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,197.100000,-129.300000,90.000000,bottom
J8,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,211.500000,-130.300000,90.000000,bottom
J9,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,208.275000,-110.790000,270.000000,bottom
J10,Conn_01x06 Header,PinHeader_1x06_P2.54mm_Vertical,181.950000,-162.400000,270.000000,bottom
J11,Conn_01x04 MiniPV,MiniPV_69167-X04XXX_1x04_P2.54mm_Polarized_Vertical,174.805000,-130.290000,270.000000,bottom
J12,USB_B_Micro,FRAMATOME_10118194-0001LF_fixed_bridges,155.325000,-170.560000,0.000000,bottom
J14,Conn_01x02 Terminals,Amphenol_BarrierStrip_YK321020XX00G_1x02_P7.62,116.100000,-105.700000,180.000000,bottom
J15,Conn_01x07 Header,PinHeader_1x07_P2.54mm_Vertical,113.700000,-142.975000,0.000000,bottom
J16,Conn_01x03 MiniPV,MiniPV_69167-X03XXX_1x03_P2.54mm_Polarized_Vertical,212.725000,-148.210000,90.000000,bottom
JP1,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,188.300000,-131.800000,180.000000,bottom
JP2,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,170.954364,-131.425000,180.000000,bottom
JP3,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,202.600000,-132.900000,180.000000,bottom
JP4,Jumper_3_Bridged12,PinHeader_1x03_P2.54mm_Vertical,203.800000,-150.125000,180.000000,bottom
L1,12LRS104C,12LRS104C,120.100000,-132.800000,0.000000,bottom
Q1,AO3400A,SOT-23,176.800000,-139.300000,0.000000,bottom
Q2,AO3400A,SOT-23,196.400000,-138.500000,0.000000,bottom
Q3,AO3400A,SOT-23,204.300000,-112.100000,0.000000,bottom
Q4,AO3400A,SOT-23,210.937500,-139.550000,0.000000,bottom
Q5,Q_NPN_BEC,SOT-23,160.000000,-150.110000,270.000000,bottom
Q6,Q_NPN_BEC,SOT-23,156.300000,-150.110000,270.000000,bottom
Q7,AO3400A,SOT-23,201.900000,-155.200000,0.000000,bottom
R1,470,R_0402_1005Metric,206.400000,-169.100000,0.000000,bottom
R2,10k,R_0402_1005Metric,181.100000,-168.200000,0.000000,bottom
R3,100k,R_0402_1005Metric,190.100000,-169.100000,0.000000,bottom
R5,22,R_0402_1005Metric,199.500000,-159.800000,180.000000,bottom
R6,4k7 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,171.000000,-156.800000,0.000000,bottom
R7,4k7 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,169.150000,-166.700000,270.000000,bottom
R8,100 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,170.100000,-159.300000,270.000000,bottom
R9,100 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,171.650000,-166.400000,180.000000,bottom
R10,10k,R_0402_1005Metric,173.345636,-138.890000,270.000000,bottom
R11,10k,R_0402_1005Metric,192.900000,-137.900000,270.000000,bottom
R12,10k,R_0402_1005Metric,202.700000,-114.900000,270.000000,bottom
R13,10k,R_0402_1005Metric,207.400000,-138.900000,270.000000,bottom
R14,100,R_0402_1005Metric,173.845636,-140.400000,180.000000,bottom
R15,100,R_0402_1005Metric,193.400000,-139.500000,180.000000,bottom
R16,100,R_0402_1005Metric,203.800000,-114.890000,90.000000,bottom
R17,10k,R_0402_1005Metric,198.300000,-154.500000,270.000000,bottom
R18,1k,R_0402_1005Metric,180.100000,-134.700000,90.000000,bottom
R19,1k,R_0402_1005Metric,182.000000,-134.700000,90.000000,bottom
R20,470,R_0402_1005Metric,146.987244,-155.310000,180.000000,bottom
R21,470,R_0402_1005Metric,146.987244,-154.110000,180.000000,bottom
R22,22,R_0402_1005Metric,156.200000,-165.510000,90.000000,bottom
R23,22,R_0402_1005Metric,155.100000,-165.510000,90.000000,bottom
R24,22,R_0402_1005Metric,136.600000,-110.400000,180.000000,bottom
R25,4k7,R_0402_1005Metric,141.400000,-110.400000,0.000000,bottom
R26,22,R_0402_1005Metric,136.600000,-107.900000,180.000000,bottom
R27,4k7,R_0402_1005Metric,141.400000,-107.900000,0.000000,bottom
R28,10k,R_0402_1005Metric,157.500000,-154.410000,90.000000,bottom
R29,10k,R_0402_1005Metric,158.800000,-154.410000,90.000000,bottom
R30,10k,R_0402_1005Metric,160.610000,-147.610000,180.000000,bottom
R31,10k,R_0402_1005Metric,199.020000,-119.400000,180.000000,bottom
R32,10k,R_0402_1005Metric,196.620000,-117.000000,270.000000,bottom
R33,10k,R_0402_1005Metric,191.620000,-117.000000,90.000000,bottom
R34,1k,R_0402_1005Metric,191.220000,-106.800000,180.000000,bottom
R35,10k,R_0402_1005Metric,189.320000,-119.300000,180.000000,bottom
R36,100,R_0402_1005Metric,116.600000,-150.600000,0.000000,bottom
R37,1k,R_0402_1005Metric,116.600000,-153.100000,0.000000,bottom
R38,1k,R_0402_1005Metric,116.600000,-155.700000,0.000000,bottom
R39,100,R_0402_1005Metric,116.600000,-148.000000,0.000000,bottom
R40,10k 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,209.000000,-115.800000,270.000000,bottom
R41,DNP 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.700000,-158.200000,0.000000,bottom
R42,2.2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,210.800000,-115.800000,90.000000,bottom
R43,0 0603,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,209.300000,-156.400000,180.000000,bottom
R44,100,R_0402_1005Metric,207.900000,-140.500000,180.000000,bottom
R45,100,R_0402_1005Metric,198.810000,-156.100000,180.000000,bottom
SW1,SW_Push,SW_TACTILE_5.1MM_TS-1187A-C-D-B,194.900000,-168.650000,0.000000,bottom
SW2,SW_Push,SW_TACTILE_5.1MM_TS-1187A-C-D-B,152.400000,-144.510000,0.000000,bottom
SW4,SW_Push,SW_TACTILE_5.1MM_TS-1187A-C-D-B,185.300000,-168.600000,0.000000,bottom
TH1,Thermistor_NTC,C_Disc_D3.0mm_W2.0mm_P2.50mm,169.100000,-169.800000,180.000000,bottom
U1,STM32G030C8T6,LQFP-48_7x7mm_P0.5mm,186.500000,-150.900000,270.000000,bottom
U3,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,161.757142,-134.000000,180.000000,bottom
U4,MAX31855KASA,SOIC-8_3.9x4.9mm_P1.27mm,153.957142,-134.000000,180.000000,bottom
U5,AMS1117-3.3,SOT-223-3_TabPin2,104.200000,-146.700000,90.000000,bottom
U6,ESP32-WROOM-32,ESP32-WROOM-32,131.883447,-150.860000,90.000000,bottom
U7,XL1509-5.0E1,SOIC-8_5.23x5.23mm_P1.27mm,116.500000,-119.500000,270.000000,bottom
U8,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,156.900000,-159.310000,0.000000,bottom
U9,W25Q128JVSIQ,SOIC-8_5.275x5.275mm_P1.27mm,143.700000,-134.700000,270.000000,bottom
BZ1,Buzzer,MURATA_PKM13EPYH4000-A0,205.200000,-159.800000,0.000000,top
J13,Conn_01x04 Header,PinHeader_1x04_P2.54mm_Vertical,138.920000,-115.500000,180.000000,top
SW3,RotaryEncoder_Switch,BOURNS_PEC12R-4xxxF-Sxxxx,194.120000,-111.850000,0.000000,top
